order_id,payment_method,payment_date,payment_status,transaction_reference
1,Credit Card,2024-01-10 12:45,Completed,TXN-100001
2,PayPal,2024-01-11 13:30,Completed,TXN-100002
3,Credit Card,2024-01-12 19:00,Completed,TXN-100003
5,Cash,2024-01-14 11:15,Completed,TXN-100004
6,Debit Card,2024-01-15 20:45,Completed,TXN-100005
7,Credit Card,2024-01-16 12:15,Completed,TXN-100006
8,PayPal,2024-01-17 14:00,Pending,
9,Credit Card,2024-01-18 17:45,Pending,
10,Debit Card,2024-01-19 18:30,Pending,
11,Credit Card,2024-01-20 11:45,Completed,TXN-100010
12,Cash,2024-01-21 14:15,Completed,TXN-100011
13,Credit Card,2024-01-22 19:45,Completed,TXN-100012
14,PayPal,2024-01-23 20:15,Completed,TXN-100013
15,Debit Card,2024-01-24 12:30,Completed,TXN-100014
17,Credit Card,2024-01-26 18:15,Completed,TXN-100015
18,Cash,2024-01-27 20:00,Completed,TXN-100016
19,Credit Card,2024-01-28 11:30,Completed,TXN-100017
20,PayPal,2024-01-29 14:45,Completed,TXN-100018
